sku,store,attribute_set,_type,_category,_root_category,websites,category_ids,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,grape,wine_year,wine_land,type_of_wine,wine_region,wine_appellation,wine_chateau,wine_classification,wine_drinkstaduim,wine_flavor_type,wine_score,wine_resources_score,product_type_id,store_id,in_depth,model,_product_websites
28,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Helder, zuiver diepblank van kleur met een zilveren glans. Stuivend fris bouquet vol fruit als citrus, groene appeltjes en kiwi. Elegant van structuur en stijl, verrassend zacht in de mond en in de afdronk lichte terroiraccenten. 100% sauvignon blanc.",,,1,/b/o/bourgogne_en_loire_195_260_q_pinot_noir.png,Sauvignon Blanc,,inner,,,Chartron la Fleur - Bordeaux Blanc,,,Use config,Use config,Chartron la Fleur - Bordeaux Blanc,,,Block after Info Column,,5.95,0,"Al vele jaren de witte huiswijn uit Bordeaux van Vanouds de Zwaan. Heerlijk droog en fris, maar wel verrassend zacht voor een sauvignon blanc. Ster in de Guide Hachette 2012!",,,,,,1,2,1,0,,,,4,75,75,540,540,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,,,Sauvignon Blanc,2010,Frankrijk,Wit,Bordeaux,Bordeaux,Schröder & Schyler,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
29,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Intense robijnrode kleur met aroma's van rode vruchten, pruimen, een hint van munt en kruiden. Merlot voert de boventoon, waardoor de wijn fruitig is, zacht en soepel met een sappige, frisse afdronk.",,,1,,,,inner,,,,,,,,Château Les Arqueys,,,Block after Info Column,,5.95,,"Een zachte en soepele Bordeaux waarin merlot de boventoon voert - gul, sappig en lekker fruitig.",,,,,,1,2,1,,,,,4,75,75,24,24,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Château Les Arqueys,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
30,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Wijndomein uit het begin van de 19de eeuw, nu eigendom van Patrick Barrière. 
Groot 8 ha, gunstig gelegen op een zonnig plateau met goed terroir wat zorgt 
voor een goede beworteling van de wijnstokken. Samenstelling: merlot 60%, cabernet sauvignon 40%.
",,,1,,,,inner,,,,,,,,Château Saint-Thibeaud - Bordeaux Rosé,,,Block after Info Column,,5.95,,"Elegant van structuur, fris en lichtkruidig. Geen zware rosé maar erg toegankelijk en makkelijk te drinken. Geschikt als aperitief maar ook verfrissend op recepties of zomaar op een zonnig terras.",,,,,,1,2,1,,,,,4,75,75,72,72,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rosé,Bordeaux,Bordeaux,Château Saint-Thibeaud,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
33,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"In de zuidelijke Rhône maar dan wat meer naar het Oosten op de hellingen van de Mont Ventoux liggen de wijngaarden van de Côtes-du-Ventoux. Pierre Rougon, een veeleisende en creatieve wijnmaker, maakt hier van grenache en syrah en in de verkoeling van de Mont Ventoux deze soepele, ronde en fruitige wijn. Gouden medaille op het Concours des Vins in Orange.",,,1,,,,inner,,,,,,,,Domaine de la Tour Rocan,,,Block after Info Column,,5.95,,"Op de hellingen van de Mont Ventoux liggen de wijngaarden van Pierre Rougon, een veeleisende en creatieve wijnmaker. Hij maakt hier van grenache en syrah deze soepele, ronde en fruitige wijn.",,,,,,1,2,,1,,,,4,75,,75,48,48,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,"Grenache, Syrah",2011,Frankrijk,Rood,Côtes du Rhône,Ventoux,Domaine de la Tour Rocan,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
34,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Toegankelijke rode Chartron la Fleur. Neus van bessen en klein donker fruit; in de mond fris fruitig, met soepele tannines en een vleugje vanille door de gedeeltelijke opvoeding op houten vaten. Samenstelling: 70% merlot, 30% cabernet sauvignon. Combineert prima met voorgerechten, wit en rood vlees.", in de mond fris fruitig,,1,,,,inner,,,,,,,,Chartron la Fleur,,,Block after Info Column,,5.95,,"Genoemd naar Quartier des Chartrons, het oude wijnhandelsdistrict in Bordeaux. Lekker toegankelijke rode Bordeaux, rond en fruitig met een vleugje vanille door de gedeeltelijke opvoeding op houten vaten.",,,,,,1,2,2,,1,,,4,75,75,,75,102,102,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Schröder & Schyler,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
35,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Al jaren een bestseller in ons assortiment. Mooie, donkere, robijnrode kleur en een aangename neus met nuances van rijp zwart fruit en toast; in de mond soepel en fruitig met tonen van cassis en bessen en jonge, zachte tannines. Een vleugje vanille verraadt een korte rijping op eiken.",,,1,,,,inner,,,,,,,,Château Lalène - Bordeaux Supérieur,,,Block after Info Column,,6.25,,"Topper uit ons Bordeaux huiswijnassortiment - lekker vol en donker van smaak zoals een goede Bordeaux hoort te zijn, en dat voor een zacht prijsje.",,,,,,1,2,1,,,,,4,75,75,228,228,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux Supérieur,Château Lalène,,"Op dronk, zeker 5 jaar op te leggen",Vol en soepel,,,simple,1,test in depth,,base
36,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Mondvullend en rijk, fruitig met milde zuren en lichtdroog. Past goed bij bijna alle gerechten vis, gevogelte, wit vlees maar ook schelpdieren, koude vleesbuffetten en niet te vergeten “De Asperge”.  Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,1,,,,inner,,,,,,,,Hubert Beck Pinot Blanc,,,Block after Info Column,,6.45,,"De populairste en meest bekende druivenvariëteit, ligt aan de oorsprong van zachte, verfijnde wijnen waarin frisheid en soepelheid samenkomen. De traditionele begeleider van “De Asperge”. ",,,,,,1,2,,1,,,,4,75,,75,168,168,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,Pinot Blanc,2010,Frankrijk,Wit,Alsace,,Hubert Beck,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
38,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Côtes de Bourg ligt naast Côtes de Blaye aan de overzijde van de Gironde ten opzichte van de Médoc. De wijnbouwtraditie gaat hier al lange tijd terug, en op Château Côtes de Bellevue wordt dan ook een goede all-round rode wijn gemaakt waarin rood fruit en een vleugje kruidigheid mooi in balans zijn.",,,1,,,,inner,,,,,,,,Château Côtes de Bellevue - Côtes de Bourg,,,Block after Info Column,,6.55,,"Een ronde, fruitige Bordeaux met aangename tannines. Combineert goed met gevogelte.",,,,,,1,2,1,,,,,4,75,75,30,30,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2008,Frankrijk,Rood,Bordeaux,Côtes de Bourg,Château Côtes de Bellevue,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
39,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Mooi gestructureerde rode Bordeaux met rode en zwarte bessen, een vleugje kruiden en eikenhout. Lekker bij pluimwild, kalfsvlees en kaas.",,,1,,,,inner,,,,,,,,Château Portillon,,,Block after Info Column,,6.65,,"Mooi gestructureerde rode Bordeaux met rode en zwarte bessen, een vleugje kruiden en eikenhout. Lekker bij pluimwild, kalfsvlees en kaas.",,,,,,1,2,,1,,,,4,75,,75,24,24,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Château Portillon,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
40,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Château Grenet 2010, Médaille d’Or Paris 2011 - Château De la Lambertie 2008, Medaille d’Or Paris 2009 - Château Lers Loumede 2008, Premieres Côtes de Blaye - Château Les Arqueys 2010 - Château Portillon 2010, Medaille d’Argent Paris 2011
- Château Côtes de Bellevue 2008 - Côtes de Bourg
",,,1,,,,inner,,,,,,,,"Proefdoos ""Betaalbaar Bordeaux""",,,Block after Info Column,,0,,"Bezuinigingen, aanhoudende economische crisis…wij helpen u graag aan een betaalbare ‘gewone’ Bordeaux. Deze proefdoos bestaat uit 6 verschillende goede Bordeauxwijnen voor een kleine prijs.",,,,,,1,2,1,,,,,4,75,75, -   , -   ,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2008,Frankrijk,Rood,Bordeaux,Bordeaux,Vanouds de Zwaan,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
42,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"De zeer goede ligging van dit kleine wijngoed (slechts 5ha) en de uitstekende kwaliteit van haar wijnen was Alain Lancerau van Château Bellevue Gazin al opgevallen. Onder zijn hoede is die kwaliteit nog meer verbeterd en is er aandacht gegeven aan de presentatie. Het château kijkt uit over de Gironde in Blaye. De wijnen worden op eiken vaten gelagerd en zijn vol en geconcentreerd, met een goede prijs/kwaliteit verhouding.",,,1,,,,inner,,,,,,,,Château Lers Loumède - Premières Côtes de Blaye,,,Block after Info Column,,6.85,,"Een stevige rode Bordeaux met donker fruit, zoethout en een vleugje geroosterde koffie. Lekker bij geroosterd vlees.",,,,,,1,2,1,,,,,4,75,75,30,30,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2008,Frankrijk,Rood,Bordeaux,Côtes de Blaye,Château Lers Loumède,,Op dronk,Krachtig en complex,,,simple,1,test in depth,,base
44,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Mooi, licht goudgeel van kleur, complex, rijk en geurig met een intense, volle en krachtige smaak. Tonen van rijpe perziken en abrikozen met een tintje kruidigheid.",,,1,,,,inner,,,,,,,,Alain Paret Pastourou,,,Block after Info Column,,6.85,,"Aangename droge witte wijn van 100% viognier, door Alain Paret geselecteerd uit de Pays d'Oc.",,,,,,1,2,1,,,,,4,75,75,120,120,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,Viognier,2011,Frankrijk,Wit,Pays d'Oc,,Alain Paret,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
45,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"De Beaujolais is een schitterend wijngebied. Het bestaat uit een aaneenschakeling van prachtige groene heuvels, serene dalen en oer-oude dorpen met een echte Franse sfeer. De wijnranken beheersen het gebied dat doorsneden wordt door de rivieren de Rhône en de Saône.
De Beaujolais wijnen worden gemaakt, 'gevinifieerd', van de charmante en smaakvolle Gamay-druif (noir à jus blanc) - een zwarte druif met helder sap. Château des Maladrets ligt ten zuiden van Brouilly tegenover een steengroeve waar puur graniet gewonnen wordt. De wijngaarden hebben dan ook een ondergrond van graniet bedekt met kalkrijke klei. Claude Ratigner en zijn team maken hier een ambachtelijke en traditionele Beaujolais Villages. Altijd mooi gestructureerd en fruitig. En wat bijzonder is voor Beaujolais Villages: deels gerijpt op houten vaten. Kersenrood van kleur. Een haast bedwelmende volle neus met aroma’s van klein rood fruit. In de mond sappige bramen en rode bessen, veel finesse met zachte tannines en een elegante, mooi aanhoudende afdronk. Om jong te drinken, aanbevolen vóór 2015. ",,,1,,,,inner,,,,,,,,Beaujolais Villages Château des Maladrets,,,Block after Info Column,,6.95,,Château des Maladrets ligt tegenover een steengroeve waar puur graniet gewonnen wordt. Claude Ratigner en zijn team maken hier een ambachtelijke en traditionele Beaujolais Villages.,,,,,,1,2,,,,,,4,75, -   , -   ,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,Gamay,2011,Frankrijk,Rood,Beaujolais,Beaujolais Villages,Château des Maladrets,,Op dronk,Licht en fruitig,,,simple,1,test in depth,,base
46,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Château de Lugagnac dateert uit de 100-jarige oorlog en bestaat uit verschillende oude wijngaarden in het gebied waar de Dordogne en de Garonne samenkomen. Deze Bordeaux Supérieur uit 2009 is op het Concours de Bordeaux 2011 met een gouden medaille bekroond. De wijn is samengesteld uit 50% Merlot en 50% Cabernet Sauvignon en opgevoed op eiken vaten. Het resultaat is een aromatische, krachtige wijn met een goede structuur. Mooi fris, met nuances van bramen en pruimen en een vleugje kruidigheid in de afdronk. Heerlijk om nu al te drinken.",,,1,,,,inner,,,,,,,,Château Bellevue-Lugagnac - Bordeaux Supérieur,,,Block after Info Column,,6.95,,"Aromatische, krachtige wijn met een goede structuur. Mooi fris, met nuances van bramen en pruimen en een vleugje kruidigheid in de afdronk. 50% cabernet sauvignon, 50% merlot.",,,,,,1,2,,,1,,,4,75,,,75,198,198,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2009,Frankrijk,Rood,Bordeaux,Bordeaux Supérieur,Château Bellevue-Lugagnac,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
47,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Een mix van 70% Merlot, 20% Cabernet Sauvignon en 10% Cabernet Franc. Deze gouden medaille winnaar (Parijs 2011) beschikt over aangename aroma's van pruimen, bessen en kersen met een vleugje thee. Het is een droge, vrij stevige wijn met aroma's van cassis en wilde bramen en een vleugje eiken. Aanbevolen om 1 tot 2 uur te decanteren.",,,1,,,,inner,,,,,,,,Château de la Lambertie,,,Block after Info Column,,6.95,,"Rode wijn in de stijl van een klassieke Bordeaux, droog en stevig met tannines, cassisfruit, wilde bramen en een vleugje eiken. Lekker bij biefstuk en kalfsvlees.",,,,,,1,2,,,1,,,4,75,,,75,30,30,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon, Cabernet Franc",2008,Frankrijk,Rood,Bordeaux,Bordeaux,Château de la Lambertie,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
48,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Een elegante en intense wijn met aroma's van cassis en zwarte kersen met een peperige toets. Volop fruit in de mond, nuances van bramen en zoethout. Rond en krachtig, goed te combineren met bijvoorbeeld wildgerechten.",,,1,,,,inner,,,,,,,,Château Grenet,,,Block after Info Column,,6.95,,"Een ronde, krachtige rode Bordeaux met volop donker fruit, een vleugje peper en een verrassende frisheid. Gouden medaille op het wijnconcours in Parijs 2011.",,,,,,1,2,,1,,,,4,75,,75,24,24,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,"Merlot, Cabernet Sauvignon",2010,Frankrijk,Rood,Bordeaux,Bordeaux,Château Grenet,,Op dronk,Vol en soepel,,,simple,1,test in depth,,base
49,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Domaine Matray is al vijf generaties een familiebedrijf, gelegen in Juliénas. Naast verschillende cru's wordt hier ook een Beaujolais rosé gemaakt, uiteraard van de gamay druif. Elegant, levendig en fruitig.",,,1,,,,inner,,,,,,,,Domaine Matray Beaujolais Rosé,,,Block after Info Column,,6.95,,Alle rode wijnen uit de Beaujolais zijn gemaakt van de gamay noir à jus blanc, door het lichte sap kort met de schil in contact te brengen maak je daar ook een fruitige rosé van.,,,,,1,2,,2,,,,4,75,,75,18,18,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,Gamay,2011,Frankrijk,Rosé,Beaujolais,Beaujolais Villages,Domaine Matray,,,Op dronk,Licht en fruitig,,simple,1,test in depth,,base
50,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Karaktervol en droog. Past goed bij vis en schaaldieren, wit vlees of gevogelte en niet te vergeten de specialiteit uit de Elzas “Zuurkool”. Nu al mooi op dronk maar ook geschikt om nog enkele jaren te “ouderen”. Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,1,,,,inner,,,,,,,,Hubert Beck Riesling,,,Block after Info Column,,6.95,,"Er is geen druif die zo in staat is om terroirnuances tot uitdrukking te brengen als de riesling. Een droge wijn met frisse zuren, goed uitkomende mineraliteit en florale tonen.",,,,,,1,2,1,,,,,4,75,75, -   , -   ,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,Riesling,2011,Frankrijk,Wit,Alsace,,Hubert Beck,,Op dronk,Fris en droog,,,simple,1,test in depth,,base
51,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Een rijk bouquet van zwarte bessen met een vleugje leder. Soepel en rond in de mond. Goed geconcentreerd met een stevige structuur verkregen door houtrijping. Fruit en tannine perfect in balans. Een wijn van grote klasse. Ten minste houdbaar tot 2018. 89/100 punten van Wine Spectator. De wijngaarden van Alain Paret liggen in de Noordelijke Rhône op steile
hellingen. Het ruige landschap brengt met zich mee dat de wijngaarden op terrassen
liggen en daardoor klein zijn. Ze zijn veelal omgeven door mediterrane struiken die een ongerept bestaan leiden op de steile hellingen tussen deze plateaus, zoals wilde tijm,
laurier, rozemarijn, lavendel, mint en venkel. Dit is karakteristiek voor deze bodem en
deze kruidigheid vindt men dan ook terug in de wijn.
",,,1,,,,inner,,,,,,,,Alain Paret Valvigneyre Rouge,,,Block after Info Column,,6.95,,Een schitterende rode wijn uit de Noordelijke Rhône gemaakt van 100% syrah. Puur ambachtelijk en eerlijk bereid door Alain Paret.,,,,,,1,2,,,,,,4,75,246,246,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,Syrah,2010,Frankrijk,Rood,Côtes du Rhône,,Alain Paret,,"Op dronk, zeker 5 jaar op te leggen",Krachtig en complex,,,simple,1,test in depth,,base
53,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"Muscat is een zeer aromatische druif die in de Elzas droge, licht zoete wijnen oplevert. Tonen van perzik, abrikozen en een vleugje mandarijn. Bij het drinken heeft men het gevoel in verse druiven te bijten. Uiterst geschikt om als aperitief te drinken. Past goed bij groenteschotels en asperges.Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,1,,,,inner,,,,,,,,Hubert Beck Muscat,,,Block after Info Column,,7.25,,"Muscat is een bijzonder lastige en uiterst gevoelige druif en daarom maar weinig aangeplant. Hubert Beck maakt er een zeer verrassende frisse, enigszins zoete wijn van boordevol fruit.",,,,,,1,2,1,,,,,4,75,75, -   , -   ,0,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,Muscat,2011,Frankrijk,Wit,Alsace,,Hubert Beck,,Op dronk,"Weelderig, licht zoet",,,simple,1,test in depth,,base
55,default,Wijnen,simple,Wijnen,Root Catalog,base,3,2014-02-18 21:42:32,,,,,"De Alsace - in Nederland vaak geschreven als Elzas - is Frankrijks meest oostelijke wijngebied. Hier worden vooral witte wijnen gemaakt. De wijngaarden liggen in een smal, langgerekt lint op de oostelijke hellingen van de Vogezen. Alsace wijnen zijn complex en veelzijdig, van verfijnd frisdroog met een aangename, lichte zuurgraad tot aromatisch lichtzoet met een bijpassende lange finale. Hubert Beck maakt van pinot gris een weelderig zoete witte wijn die perfect past bij pastei, wild, wit vlees en geroosterd vlees.",,,1,,,,inner,,,,,,,,Hubert Beck Pinot Gris,,,Block after Info Column,,7.45,,"Een karaktervolle weelderige wijn, stevig en rond met een volle afdronk. Complexe aroma’s van rijp tropisch fruit, goede balans tussen zoet en zuur en een weelderige, licht kruidige afdronk.",,,,,,1,2,,,1,,,4,75,,,75,90,90,0,1,0,0,1,1,1,0,1,0,,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,Pinot Gris,2011,Frankrijk,Wit,Alsace,,Hubert Beck,,Op dronk,Zoet en dessertwijn,,,simple,1,test in depth,,base
